,Release Year,Title,Origin,categories,attributes,all keywords,Genres,IMDb_Rating,Keywords,Cast
10634,1990,Getting Lucky,American,"['Beer', ' Raw']",[],"['Beer', ' Raw']",,,,
10635,1990,Ghost,American,"['Wings', ' Spirits', ' Tea', ' Street', ' Pan', ' Room', ' Day']",[],"['Wings', ' Spirits', ' Tea', ' Street', ' Pan', ' Room', ' Day']","['Drama', 'Fantasy', 'Romance', 'Thriller']",7,"['death', 'film blanc', 'invisibility', 'love', 'unrequited love']",
10636,1990,Ghost Dad,American,"['Snow', ' Bar', ' Soul', ' bar', ' Pan', ' Room', ' Day', ' Pita', ' Family']",[],"['Snow', ' Bar', ' Soul', ' bar', ' Pan', ' Room', ' Day', ' Pita', ' Family']",,,,
10637,1990,Girlfriend from Hell,American,['Soul'],[],['Soul'],,,,
10638,1990,The Godfather Part III,American,"['American', ' New', ' Tea', ' Italian', ' Street', ' International', ' Reunion', ' Pan', ' Room', ' Garden', ' Day', ' Oil', ' Special', ' Pita', ' Family']",['romantic'],"['American', ' New', ' Tea', ' Italian', ' Street', ' International', ' Reunion', ' Pan', ' Room', ' Garden', ' Day', ' Oil', ' Special', ' Pita', ' Family', ' romantic']",,,,
10639,1990,Goodfellas,American,"['New', ' Tea', ' International', ' Pan', ' Style', ' Day', ' Oil', ' Family']",[],"['New', ' Tea', ' International', ' Pan', ' Style', ' Day', ' Oil', ' Family']","['Biography', 'Crime', 'Drama']",8.7,"['betrayal', 'gangster', 'mafia', 'organized crime', 'robbery']",
10640,1990,Graffiti Bridge,American,"['Tea', ' Personal', ' Bar', ' bar', ' Music', ' Pan', ' Custom', ' Day']",[],"['Tea', ' Personal', ' Bar', ' bar', ' Music', ' Pan', ' Custom', ' Day']",,,,
10641,1990,Green Card,American,"['Food', ' New', ' Fish', ' Vegetarian', ' Bar', ' bar', ' Music', ' Meat', ' Dinner', ' Room', ' Cafe', ' Gardens', ' Garden', ' Day']",[],"['Food', ' New', ' Fish', ' Vegetarian', ' Bar', ' bar', ' Music', ' Meat', ' Dinner', ' Room', ' Cafe', ' Gardens', ' Garden', ' Day']",,,,
10642,1990,Gremlins 2: The New Batch,American,"['New', ' Tea', ' Japanese', ' Pan', ' Water']",[],"['New', ' Tea', ' Japanese', ' Pan', ' Water']","['Comedy', 'Fantasy', 'Horror']",6.3,"['gremlin', 'horror host', 'hulk hogan', 'monster', 'skyscraper']",
10643,1990,The Grifters,American,"['Wings', ' New', ' Tea', ' Small', ' Room', ' Oil', ' Pita']",[],"['Wings', ' New', ' Tea', ' Small', ' Room', ' Oil', ' Pita']",,,,
10644,1990,The Guardian,American,"['British', ' Bar', ' bar', ' Flowers', ' Dinner', ' Room', ' Day', ' Water', ' Patches', ' Pita']",[],"['British', ' Bar', ' bar', ' Flowers', ' Dinner', ' Room', ' Day', ' Water', ' Patches', ' Pita']",,,,
10645,1990,Guns,American,"['International', ' South']",[],"['International', ' South']",,,,
10646,1990,The Guyver,American,"['New', ' Bar', ' bar', ' Store', ' Patches']",[],"['New', ' Bar', ' bar', ' Store', ' Patches']",,,,
10647,1990,The Handmaid's Tale,American,"['Bar', ' bar', ' Pan', ' Pub', ' Country', ' Raw', ' Day', ' Collective']",[],"['Bar', ' bar', ' Pan', ' Pub', ' Country', ' Raw', ' Day', ' Collective']",,,,
10648,1990,Hard to Kill,American,"['New', ' Tea', ' Bar', ' bar', ' Room', ' Store', ' Pita']",[],"['New', ' Tea', ' Bar', ' bar', ' Room', ' Store', ' Pita']",,,,
10649,1990,Hardware,American,"['New', ' Tea', ' Bar', ' bar', ' Room', ' Kitchen', ' Christmas']",[],"['New', ' Tea', ' Bar', ' bar', ' Room', ' Kitchen', ' Christmas']",,,,
10650,1990,Havana,American,"['New', ' Street', ' Poke', ' Dinner', ' Country', ' Cuban', ' Cuisine', ' Day', ' Christmas', ' Restaurant']",['romantic'],"['New', ' Street', ' Poke', ' Dinner', ' Country', ' Cuban', ' Cuisine', ' Day', ' Christmas', ' Restaurant', ' romantic']",,,,
10651,1990,Heart Condition,American,"['New', ' Pan']",[],"['New', ' Pan']",,,,
10652,1990,Henry: Portrait of a Serial Killer,American,"['Tea', ' Bar', ' bar', ' Dinner', ' Room', ' Day', ' Family']",[],"['Tea', ' Bar', ' bar', ' Dinner', ' Room', ' Day', ' Family']",,,,
10653,1990,Home Alone,American,"['New', ' Fusion', ' Snow', ' Room', ' Day', ' Christmas', ' Family']",[],"['New', ' Fusion', ' Snow', ' Room', ' Day', ' Christmas', ' Family']","['Comedy', 'Family']",7.5,"['airport', 'child protagonist', 'child swearing', 'christmas', 'home alone']",
10654,1990,"Hot Cars, Cold Facts",American,"['New', ' Chinese', ' Fish', ' Tea', ' Street', ' Pan', ' Restaurant']",[],"['New', ' Chinese', ' Fish', ' Tea', ' Street', ' Pan', ' Restaurant']",,,,
10655,1990,The Hot Spot,American,"['New', ' Small', ' Caribbean', ' Latin']",[],"['New', ' Small', ' Caribbean', ' Latin']",,,,
10656,1990,House Party,American,"['Reunion', ' Cafeteria', ' Room', ' Style', ' Cafe', ' Kids', ' Oil']",[],"['Reunion', ' Cafeteria', ' Room', ' Style', ' Cafe', ' Kids', ' Oil']",,,,
10657,1990,The Hunt for Red October,American,"['American', ' New', ' Tea', ' Bar', ' bar', ' Water']",[],"['American', ' New', ' Tea', ' Bar', ' bar', ' Water']","['Action', 'Adventure', 'Thriller']",7.6,"['analyst', 'defection', 'navy', 'soviet submarine', 'submarine']",
10658,1990,I Come in Peace,American,"['Bars', ' Tea', ' Bar', ' bar', ' Convenience', ' Store']",[],"['Bars', ' Tea', ' Bar', ' bar', ' Convenience', ' Store']",,,,
10659,1990,I Love You to Death,American,"['Pizza', ' Local', ' Flowers', ' Pub', ' Pita']",[],"['Pizza', ' Local', ' Flowers', ' Pub', ' Pita']",,,,
10660,1990,"Initiation: Silent Night, Deadly Night 4",American,"['Tea', ' Meat', ' Room', ' Raw', ' Day', ' Christmas', ' Store', ' Knife', ' Family']",[],"['Tea', ' Meat', ' Room', ' Raw', ' Day', ' Christmas', ' Store', ' Knife', ' Family']",,,,
10661,1990,Internal Affairs,American,"['Tea', ' Comfort', ' Pub', ' Restaurant', ' Knife']",[],"['Tea', ' Comfort', ' Pub', ' Restaurant', ' Knife']",,,,
10662,1990,Iron & Silk,American,"['Chinese', ' Tea', ' Pan', ' Special']",[],"['Chinese', ' Tea', ' Pan', ' Special']",,,,
